ID,Name,Biography,Picture,Proposal titles,Your company,Your job title,X (user URL),LinkedIn (user URL),Github (user URL)
CX8YB3,Filipe Baptista,"Filipe is a Senior Android Developer and Kotlin enthusiast that has been playing with the green robot guy since 2011 and worked in different projects in areas like education, insurance, banking and telco. He always loved to share what he learned, so look online for his blog posts.
When he is not coding, he likes to spend his time traveling, listening to music and having a good cup of coffee, if possible the three combined.",https://papers.synesthesia.it/media/avatars/CX8YB3_4wzQvzB.jpeg,Speeding Up on the Highway - MAN Driver App: A story of an app rewrite without Roadblocks Using KMP,Volkswagen Digital Solutions Portugal,Senior software engineer,https://x.com/filipebatista,https://pt.linkedin.com/in/filipebatista,https://github.com/filipebatista
DZDWL8,John O'Reilly,John is  an Android Google Developer Expert with 15 years of Android and iOS development experience. He has been actively exploring and advocating for all things Kotlin Multiplatform since 2018.,https://papers.synesthesia.it/media/avatars/DZDWL8_OQEyWue.jpeg,Kotlin and Compose Multiplatform patterns for iOS interop,Kraken Technology,Software Engineer,https://x.com/joreilly,https://www.linkedin.com/in/johnoreilly/,https://github.com/joreilly
E8RKP9,Marco Gomiero,"Marco is a Senior Android Engineer at Airalo and a Google Developer Expert for Android. He’s passionate about building great mobile experiences on both Android and iOS, and loves working with Kotlin Multiplatform to share code where it makes sense. 

He also maintains open source projects, shares what he learns on his blog, speaks at conferences, and helps organize GDG Venezia. When he’s not coding, he’s probably playing basketball.",https://papers.synesthesia.it/media/avatars/profile-pic_ax68Y99.jpg,"Working with AI, not for AI: how it fits into Android Development, From Kotlin to Native and back: accessing native macOS APIs in Compose Multiplatform, Lessons learned after building apps with Kotlin Multiplatform",Airalo,Senior Android Engineer,https://twitter.com/marcoGomier,https://linkedin.com/in/marco-gomiero,https://github.com/prof18
FUQNM8,Pamela Hill,"Pamela is a Developer Advocate for Kotlin Multiplatform at JetBrains and has more than 20 years of experience writing desktop, web and mobile apps.",https://papers.synesthesia.it/media/avatars/FUQNM8_ZRj8Cix.jpg,"Kotlin Multiplatform on iOS ""Gotchas""",JetBrains,Kotlin Developer Advocate,https://x.com/pamelaahill,https://www.linkedin.com/in/pamelaahill/,https://github.com/pahill
GZA7GB,Andrea Della Porta,"Andrea has been a technology enthusiast for as long as he can remember. He started developing his first Java programs in his early high school years, but with the advent of smartphones, he quickly fell in love with the mobile world. His experience started in Switzerland for an Android project in the medical field and continued for large companies such as NTT Data and Deloitte, until he got to his current Cegeka. Over the years he has developed applications with large user bases for various industries, specializing in native Android development, Flutter and now Kotlin Multiplatform.",https://papers.synesthesia.it/media/avatars/GZA7GB_RTU4Tv1.jpg,"One codebase to rule them all: Cross-Platform apps with Kotlin and Compose Multiplatform, Android Studio in the Cloud: Build Anywhere, Anytime, Clean Code, Clear Structure: Mastering Clean Architecture in Flutter, One codebase to rule them all: Cross-Platform apps with Kotlin and Compose Multiplatform, Kotlin Multiplatform in Production: Scaling for Real Apps, KMP vs Flutter vs React Native: What Android Devs Should Really Know, The Dark Corners of Kotlin Multiplatform, Build Once, Think Twice – AI Features in a Kotlin Multiplatform Codebase, AI-Powered Testing for Mobile – Let the Bots Find Your Bugs, Code, Prompt, Adapt: How AI Is Changing the Role of Mobile Developers, Compose vs. XML: Stop Fighting Yesterday’s Battles, Animating Across Platforms Without Losing Your Mind, One codebase to rule them all: Cross-Platform apps with Kotlin and Compose Multiplatform, Kotlin Multiplatform in Production: Scaling for Real Apps, Beyond Mobile: Building Shared Logic for Embedded and IoT with Kotlin Multiplatform, Taming Complexity: Advanced Gradle Setup for Kotlin Multiplatform Projects, Full-Stack Kotlin Multiplatform: Sharing Code from Backend to Mobile",Cegeka,Mobile Technical Leader,https://x.com/AndreaDellaPor5,https://www.linkedin.com/in/andrea-della-porta-01/,https://github.com/andreadellaporta01
JC9WPZ,Karlo Čeh,"Karlo is an Android Engineer with over five years of professional experience. He has worked on diverse domains for clients with worldwide reach, from Automotive to IoT. Beyond his passion for Android and Kotlin, he enjoys contributing to open-source, quirky board games and challenges at local pub quizzes.",https://papers.synesthesia.it/media/avatars/JC9WPZ_7PXbncN.jpeg,Swift on Android - Kotlin dev impressions,Infinum,Android Engineer,https://x.com/Ceh1Ceh,https://www.linkedin.com/in/karlo-ceh/,
JPQNJQ,Shafik Quoraishee,"Shafik Quoraishee is a senior mobile engineer on The New York Times Games team, leading development for flagship titles like Wordle, Connections, Strands, and the Crossword app. He builds polished, engaging mobile experiences enjoyed by millions of daily players, blending his expertise in AI and software design to support scale and accessibility. Beyond his work at NYT, Shafik is a seasoned speaker in AI and mobile game development—featured at events like Droidcon NYC and the Bletchley Institute’s Technology Summit, where he has presented on topics ranging from game integration to advances in AI and computer vision. His insights have also appeared on podcasts such as the Brave Technologist, where he discussed balancing legacy brand values, viral gameplay, AI-enhanced accessibility, and mobile-first innovation.",https://papers.synesthesia.it/media/avatars/JPQNJQ_oL4LosY.png,"Building a Handwriting Recognition System for the New York Times Crosswords, Accessibility and Computer Vision: Building A System for the New York Times News Reader App",The New York Times,Senior ML/Games Engineer,https://x.com/SQuoraishee,https://www.linkedin.com/in/shafik-quoraishee/,https://github.com/squoraishee
JXUXK3,Bakhtar Sobat,"I’m an Android Developer Chapter Lead and AI Engineer, passionate about building mobile solutions and advancing AI. I enjoy speaking at conferences and sharing insights on Android, Kotlin, security, and AI. Helping others grow in their careers is important to me, whether through mentorship or public speaking.",https://papers.synesthesia.it/media/avatars/JXUXK3_2oTU8YV.jpg,"Unlocking the Black Box: Building and integrating AI in Android, Shielding Privacy and Security with Zero-Knowledge Proofs: An Android Perspective",ABN AMRO Bank,Android Developer,non,https://www.linkedin.com/in/mbsobat,
ME88RR,Alessandro Finocchiaro,"My Android story began with a green UI and a gingerbread man: Gingerbread. I've been writing Android code since before Fragments existed. From there, I've ridden every wave of innovation: from the rigidity of Eclipse to the power of Gradle, from the verbosity of Java to the elegance of Kotlin. Today, I bring this unique perspective into the new era of mobile development, building bridges between platforms with Kotlin Multiplatform.",https://papers.synesthesia.it/media/avatars/ME88RR_J56TKZp.jpeg,"One codebase to rule them all: Cross-Platform apps with Kotlin and Compose Multiplatform, Android Studio in the Cloud: Build Anywhere, Anytime, Kotlin Multiplatform in Production: Scaling for Real Apps, KMP vs Flutter vs React Native: What Android Devs Should Really Know, The Dark Corners of Kotlin Multiplatform, Build Once, Think Twice – AI Features in a Kotlin Multiplatform Codebase, AI-Powered Testing for Mobile – Let the Bots Find Your Bugs, Code, Prompt, Adapt: How AI Is Changing the Role of Mobile Developers, Compose vs. XML: Stop Fighting Yesterday’s Battles, Animating Across Platforms Without Losing Your Mind",Almaviva,Senior Mobile Architect,https://x.com/swaix/,,
PJW7WA,Roman Levinzon,"I’m a Senior Mobile Engineer at Similarweb with 7+ years of experience, with a focus on the Android Platform. Along the way, I've also picked up iOS, Kotlin Multiplatform, and even dabbled in Backend Development and Solution Architecture.

With a passion for developer experience, I love creating developer tools - both internal solutions used by colleagues and open-source projects that help other developers succeed on their journey.

Outside of work, I've set myself on a journey into a world of solo game development and design in Godot, combining my technical experience, a passion for video games, and creativity",https://papers.synesthesia.it/media/avatars/PJW7WA_oz6RMCg.jpg,Jetpack Compose UI Architecture,Similarweb,Mobile Engineer,https://x.com/levinzonr?t=QgMmpD6EC38KaJhxnSBbhA&s=09,https://www.linkedin.com/in/roman-levinzon-11734b151/,PJW7WA
QFKFPM,Emmanuele Villa,"Emmanuele Villa is a Senior Technical Consultant at Fincons Group, where he leads a team of mobile and web developers working with technologies like Kotlin Multiplatform, Compose, and SwiftUI. With over ten years of experience in mobile development, he has built innovative solutions across various platforms, including Android, iOS, Xamarin, React Native, and Unity3D.

He also teaches at the Università della Terza Età in Carate Brianza, a non-profit offering educational programs for retirees. Passionate about emerging technologies, Emmanuele explores areas like Quantum Computing and enjoys sharing his knowledge through articles, videos, and online courses.

In his spare time, he cares for ant colonies, runs tabletop RPGs, and follows One Piece with dedication.",https://papers.synesthesia.it/media/avatars/QFKFPM_G7cxKpE.jpg,Post-Quantum Cryptography in Kotlin Multiplatform,Fincons Group,Senior Technical Consultant,https://x.com/WiLLy4Real,https://www.linkedin.com/in/emmanuelevilla/,https://github.com/EmmanueleVilla
QUM8AF,Julien Salvi,"With over a decade in the Android world, I’ve lived the fast-paced startup life in California before returning to France. Today, I’m leading and managing the Android team at Aircall, where we're building the best phone system for modern businesses.

Beyond Android, I’m passionate about backend development with Kotlin and exploring the possibilities of AR/VR. In 2021, I was honored to become an Android GDE—continuing my mission to share knowledge and grow alongside the amazing Android community.

Outside of work, you’ll find me traveling the globe or on the hunt for the perfect IPA.",https://papers.synesthesia.it/media/avatars/Capture_decran_2023-01-04_a_17.39.59-gde-badge_2_lwYcODK.png,"You, me and Firebase Studio 🔥, Hidden Gems of Firebase for Android Devs",Aircall,Engineering Lead,'--,https://www.linkedin.com/in/salvijulien/,https://github.com/Oleur
QX8SFW,Vanessa Johnson,"Vanessa Johnson is an Associate Android Engineer at The New York Times working on the Games Android app. She loves building mobile apps and any technical topics she finds interesting. She is passionate about accessibility, is working on side projects, and has a newsletter. When she isn’t coding she is usually playing pickup basketball or watching a horror movie.",https://papers.synesthesia.it/media/avatars/QX8SFW_sY7sjFj.png,"Building Inclusive Jetpack Compose Apps: Leveraging Kotlin and the Accessibility Scanner, Linting That Doesn’t Lie: Kotlin Code Quality with Gradle’s Problems API, I Build Android Apps All Day. Here’s What Shocked Me about iOS, GraphQL Without Headaches: Building Resilient Clients Through Abstractions",The New York Times,Android Engineer,N/A,https://www.linkedin.com/in/vanessa-johnson999/,https://github.com/vanessamj99
QZ8G8C,Etienne Caron,"Etienne Caron is the technical founder of Kanastruk, an innovation lab specializing in software development, IoT, machine learning, and embedded systems. For the past few years, he has led the company, partnering with notable clients such as Bell Canada and Instacart.

Etienne began his career as a back-end developer in the late nineties, pivoting to mobile development in the early 2010s. He has worked across all tiers of large-scale software platforms, including server, web, mobile, and embedded systems.

• Staff developer for the e-commerce store management application at Shopify.
• Senior Android developer on the Hatchful™ Logo Maker at Shopify.
• Android team lead on the TrueKey™ password management app for Intel / McAfee.
• Senior developer on the Nina™ Mobile speech recognition SDK at Nuance Communications.

With over 25 years of experience, Etienne remains a dedicated community member, actively mentoring startups, developers, and students. He lives in Montreal, Canada, with his wife and daughter and is fluent in both French and English.",https://papers.synesthesia.it/media/avatars/QZ8G8C_TlhUFYi.png,"The Urban Mine - Smart Android Containers for Reuse, Recycling and Recovery",Kanastruk Services Conseils,Tech Founder,https://bsky.app/profile/kanawish.bsky.social,https://www.linkedin.com/in/etcaron/,https://github.com/kanawish
SJKYVG,Ivan Morgillo,"I have built Android apps for over a decade. Nowadays I help programmers with my work on the Android documentation. I'm also building Mygoo.fun, an Italian startup, where I develop the Flutter mobile app and the Ruby on Rails backend.",https://papers.synesthesia.it/media/avatars/52483422584_27d80d417a_o_RkyJkWy.jpg,AI for Devs: friend or foe,Mygoo.fun,CTO,https://x.com/hamen,https://www.linkedin.com/in/ivanmorgillo/,https://github.com/hamen
SPAZ7A,Saumya Singh,"Saumya Singh is a software engineer, educator, and tech influencer from India with over 5 years of experience in Android development, Kotlin, open source contributions, and AI. She is passionate about making developers successful and aware through mentoring and sharing practical knowledge. Saumya has been recognized as a LinkedIn Top Voice, an International Open Source Awardee, and a Google Connect Winner (2019). She has delivered talks at TEDx events like TEDxBBAU, TEDxDTU, and TEDxSIBM Nagpur, and has been featured in The Better India, Outlook India, and Vogue India. With over 400K followers on Instagram and a community of more than 800K across platforms, she continues to guide tech enthusiasts globally. Saumya is also a winner of SIH and 21U21 awards and is excited to empower developers through open source contributions.",https://papers.synesthesia.it/media/avatars/SPAZ7A_Y8AAXOk.jpg,"Open Source Contributions: Why It Matters & How to Get Started (With a Live Demo), What's New in Android – exploring the latest advancements and features in Android development, Career Growth & Skill Development – Sharing Insights on Navigating a Successful Tech Career",IBM,Software Engineer,https://x.com/saumya1singh,https://www.linkedin.com/in/saumya1singh/,https://github.com/saumya1singh
SRWW8S,Alex Zhukovich,"Alex Zhukovich has been developing Android since 2011. Currently, he is working for Backbase. He is a public speaker in Europe and software enthusiast with a passion for technologies, which share thoughts & experiences on the private technical blog (https://alexzh.com/).",https://papers.synesthesia.it/media/avatars/c76a98ec76317cdd-1_1lsIVjQ.png,"Mastering Adaptive Layouts: Visual Testing for Every Screen, The Complete Android UI Testing Landscape: From Journey to Traditional Approaches",Postcode Loterij,Android Engineer,https://twitter.com/Alex_Zhukovich,https://www.linkedin.com/in/alex-zhukovich,
UCRLQZ,Emanuele Maso,"Emanuele is a passionate mobile developer with experience in both native and
cross-platform development. In his spare time, he enjoys building side projects with friends
to learn new technologies and share knowledge about the latest advancements in software
development. Beyond coding, he's a car and motorsport enthusiast, loving to watch races
and take his car for mountain drives.",https://papers.synesthesia.it/media/avatars/UCRLQZ_TLMz6uw.png,"Goodbye Passwords, Welcome Passkeys!",Bitrock S.r.l.,Mobile Developer,https://x.com/ema_mobile_dev,https://www.linkedin.com/in/emanuele-maso/,https://github.com/ClarkStoro
Y8AJSG,Piotr Prus,"Piotr Prus is a self-taught Android developer with a deep passion for tackling challenges in UI and architecture. He thrives on the opportunity to push the boundaries of what is possible in mobile app development. Currently, Piotr is enamored with Jetpack Compose and Kotlin Multiplatform Mobile, spending countless hours honing his skills and exploring their potential. Beyond his technical expertise, Piotr actively seeks to connect with new people in the industry. He is a firm believer in the power of collaboration and the value of networking. Always eager to learn from others and share his knowledge, Piotr enthusiastically engages with fellow developers, fostering meaningful connections that contribute to personal and professional growth. Piotr's knowledge and enthusiasm have earned him invitations to speak at tech conferences. He is sharing his insights and experiences on various topics around Android development. Piotr's always try to speak easy about complicated subjects. He also delivers insightful articles that provide practical tips, explore emerging trends, and delve into the nuances of Android development.",https://papers.synesthesia.it/media/avatars/T0296JJBSM9-U03VA47N5E3-63a2f9aa33db-512_AAVSDZk.jpg,"Beyond Basics: Fluid Image Transitions & Gesture Sync in Compose, Bringing Your Canvas Creations to Life with Jetpack Compose",Tilt,Lead Android Engineer,piotr_prus,piotrprus,
YMBPUT,Benedikt Löbbecke,"I am a freelance software developer from Munich working with android for about 10 years for customers including Daimler, Allianz and ING. In my latest project I am supporting the apps Team of the Otto shopping app, one of the best known shopping apps in Germany. Besides this I enjoy working on open source android libraries related to app localisation as well as private projects around KMP and app security.",https://papers.synesthesia.it/media/avatars/IMG20240413135605_TsaEQ5Y.jpg,Runtime App Security Analyses and Manipulation with FRIDA,Freelancer,Mobile Developer,'-,https://www.linkedin.com/in/benedikt-l%C3%B6bbecke/,https://github.com/B3nedikt
ZZLTBT,Eury Pérez Beltré,"Eury is a software engineer with over 14 years of experience, including 11+ years focused on Android development. As an Android architect, I've led end-to-end projects, modernized legacy apps, and built modular, high-performance solutions at scale. I'm passionate about clean architecture, maintainable code, and delivering seamless user experiences.

I'm also a Google Developer Expert in Android and an organizer of Google Developer Groups in Santo Domingo, where I actively contribute to the community through talks, articles, mentorship, and events. I believe in sharing knowledge, fostering collaboration, and helping others grow alongside the Android ecosystem.",https://papers.synesthesia.it/media/avatars/ZZLTBT_RSWxK6R.JPEG,"AndroidXR: Adapt For the Future (and Present), Yes, That’s MVI: The Pattern’s Full History, Misconceptions, and Modern Android Form, Android One-Off Events: Approaches, Evolution & Anti-Patterns, Getting Started with Google AI Edge: Multiplatform On-Device AI",Kake,Lead Android Engineer,https://x.com/_euryperez,https://www.linkedin.com/in/euryperez/,
